Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency,Year,Month,YearMonth,Day,Weekday
2018-09-20 12:04:08,Cash,Transportation,Train,2 Place 5 To Place 0,30.0,Expense,Inr,2018,September,2018-09,20,Thursday
2018-09-20 12:03:15,Cash,Food,Snacks,Idli Medu Vada Mix 2 Plates,60.0,Expense,Inr,2018,September,2018-09,20,Thursday
2018-09-17 23:41:17,Saving Bank Account 1,Subscription,Mobile Service Provider,Data Booster Pack,19.0,Expense,Inr,2018,September,2018-09,17,Monday
2018-09-16 17:15:08,Cash,Festivals,Ganesh Pujan,Ganesh Idol,251.0,Expense,Inr,2018,September,2018-09,16,Sunday
2018-09-15 06:34:17,Credit Card,Subscription,Tata Sky,Permanent Residence - Tata Play Recharge,200.0,Expense,Inr,2018,September,2018-09,15,Saturday
2018-09-14 05:39:17,Cash,Transportation,Auto,Place 2 Station To Permanent Residence,50.0,Expense,Inr,2018,September,2018-09,14,Friday
2018-09-13 21:35:15,Saving Bank Account 1,Transportation,Train,2 Place 0 To Place 3,40.0,Expense,Inr,2018,September,2018-09,13,Thursday
2018-09-13 21:01:47,Credit Card,Other,Nan,Hbr 2 Months Subscription,83.0,Expense,Inr,2018,September,2018-09,13,Thursday
2018-09-13 21:01:32,Cash,Food,Grocery,1Kg Atta,46.0,Expense,Inr,2018,September,2018-09,13,Thursday
2018-08-31 15:12:20,Cash,Family,Pocket Money,Nan,1000.0,Expense,Inr,2018,August,2018-08,31,Friday
2018-08-31 15:12:20,Cash,Gift,Nan,Farewell Contribution,118.0,Expense,Inr,2018,August,2018-08,31,Friday
2018-08-31 10:01:15,Credit Card,Food,Dinner,Domino'S Pizza,510.85,Expense,Inr,2018,August,2018-08,31,Friday
2018-08-31 09:27:28,Saving Bank Account 1,Salary,Nan,From Workplace,70255.0,Income,Inr,2018,August,2018-08,31,Friday
2018-08-31 09:26:17,Cash,Food,Milk,Half Lit  Milk,36.0,Expense,Inr,2018,August,2018-08,31,Friday
2018-08-30 21:10:24,Cash,Food,Sweets,Warna Srikhand Pav Kg,78.0,Expense,Inr,2018,August,2018-08,30,Thursday
2018-08-30 21:09:51,Cash,Household,Kirana,Supermart,343.0,Expense,Inr,2018,August,2018-08,30,Thursday
2018-08-29 12:21:49,Cash,Food,Grocery,Baking Soda,27.0,Expense,Inr,2018,August,2018-08,29,Wednesday
2018-08-29 12:21:49,Cash,Food,Ice Cream,Chocobar,15.0,Expense,Inr,2018,August,2018-08,29,Wednesday
2018-08-29 12:11:41,Cash,Food,Milk,Half Lit  Milk,36.0,Expense,Inr,2018,August,2018-08,29,Wednesday
2018-08-28 21:04:56,Saving Bank Account 1,Dividend Earned On Shares,Nan,Astral Stocks,6.75,Income,Inr,2018,August,2018-08,28,Tuesday
2018-08-28 19:16:09,Saving Bank Account 1,Dividend Earned On Shares,Nan,Reliance Stocks,18.0,Income,Inr,2018,August,2018-08,28,Tuesday
2018-08-27 21:30:16,Cash,Food,Curd,Dahi 2 Packets,20.0,Expense,Inr,2018,August,2018-08,27,Monday
2018-08-27 10:52:51,Cash,Food,Breakfast,2 Plates Poha,60.0,Expense,Inr,2018,August,2018-08,27,Monday
